authtypecode	tagfield	tagsubfield	liblibrarian	libopac	repeatable	mandatory	tab	authorised_value	value_builder	seealso	isurl	hidden	linkid	kohafield	frameworkcode
	000	@	fixed length control field	fixed length control field	0	1	0	NULL	NULL	NULL	0	0	0		
	001	@	control field	control field	0	1	0				0	0	0		
	005	@	control field	control field	0	0	0				0	0	0		
	015	@	ISADN	ISADN	0	0	0				0	0	0		
	035	a	System Control Number	System Control Number	0	0	0				0	-5	0		
	035	z	Cancelled or invalid control number	Cancelled or invalid control number	1	0	0				0	-5	0		
	100	a	General Processing Data	General Processing Data	0	1	1				0	-5	0		
	101	a	Language used by the Entity	Language used by the Entity	0	0	1				0	-5	0		
	102	a	Country of Nationality	Country of Nationality	1	0	1				0	-5	0		
	102	b	Locality	Locality	1	0	1				0	-5	0		
	106	a	One Character Code	One Character Code	0	0	1				0	-5	0		
	120	a	Coded data: personal names	Coded data: personal names	0	0	1				0	-5	0		
	123	d	Co-ordinates: Westernmost Longitude	Co-ordinates: Westernmost Longitude	0	0	1				0	-5	0		
	123	e	Co-ordinates: Easternmost Longitude	Co-ordinates: Easternmost Longitude	0	0	1				0	-5	0		
	123	f	Co-ordinates: Nothernmost Latitude	Co-ordinates: Nothernmost Latitude	0	0	1				0	-5	0		
	123	g	Co-ordinates: Southernmost Latitude	Co-ordinates: Southernmost Latitude	0	0	1				0	-5	0		
	150	a	Name Processing Data	Name Processing Data	0	0	1				0	-5	0		
	152	a	Cataloguing Rules	Cataloguing Rules	0	0	1				0	-5	0		
	152	b	Subject System	Subject System	0	0	1				0	-5	0		
	154	a	Title Processing Data	Title Processing Data	0	0	1				0	-5	0		
	160	a	Geographic Area Code	Geographic Area Code	1	0	1				0	-5	0		
	200	4	Relator Code	Relator Code	1	0	2				0	0	0		
	200	7	Script	Script	0	0	2				0	0	0		
	200	8	Language of Cataloguing	Language of Cataloguing	0	0	2				0	0	0		
	200	a	Entry Element	Entry Element	0	0	2				0	0	0		
	200	b	Part of Name Other than Entry Element	Part of Name Other than Entry Element	0	0	2				0	0	0		
	200	c	Additions to Name Other than Dates	Additions to Name Other than Dates	0	0	2				0	0	0		
	200	d	Roman Numerals	Roman Numerals	0	0	2				0	0	0		
	200	f	Dates	Dates	0	0	2				0	0	0		
	200	g	Expansion of Initials of Forename	Expansion of Initials of Forename	0	0	2				0	0	0		
	200	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	200	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	200	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	200	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	210	4	Relator Code	Relator Code	1	0	2				0	0	0		
	210	7	Script	Script	0	0	2				0	0	0		
	210	8	Language of Cataloguing	Language of Cataloguing	0	0	2				0	0	0		
	210	a	Entry Element	Entry Element	0	0	2				0	0	0		
	210	b	Subdivision	Subdivision	1	0	2				0	0	0		
	210	c	Additions to Name or Qualifier	Additions to Name or Qualifier	1	0	2				0	0	0		
	210	d	Number of Meeting	Number of Meeting	0	0	2				0	0	0		
	210	e	Location of Meeting	Location of Meeting	0	0	2				0	0	0		
	210	f	Date of Meeting	Date of Meeting	0	0	2				0	0	0		
	210	g	Inverted Element	Inverted Element	0	0	2				0	0	0		
	210	h	Part of Name Other than Entry Element and Inverted Element	Part of Name Other than Entry Element and Inverted Element	0	0	2				0	0	0		
	210	j	Form Subdivision	Form Subdivision	0	0	2		NULL		0	0	0		
	210	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	210	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	210	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	215	7	Script	Script	0	0	2				0	0	0		
	215	8	Language of Cataloguing	Language of Cataloguing	0	0	2				0	0	0		
	215	a	Entry Element	Entry Element	0	0	2				0	0	0		
	215	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	215	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	215	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	215	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	216	7	Script	Script	0	0	2				0	0	0		
	216	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	216	a	Entry Element	Entry Element	0	0	2				0	0	0		
	216	c	Qualification	Qualification	1	0	2				0	0	0		
	216	f	Dates	Dates	0	0	2				0	0	0		
	216	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	216	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	216	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	216	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	220	4	Relator Code	Relator Code	1	0	2				0	0	0		
	220	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	2				0	0	0		
	220	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	220	a	Entry Element	Entry Element	0	0	2				0	0	0		
	220	f	Dates	Dates	0	0	2				0	0	0		
	220	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	220	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	220	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	220	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	230	7	Script	Script	0	0	2				0	0	0		
	230	8	Language of Cataloguing	Language of Cataloguing	0	0	2				0	0	0		
	230	a	Entry Element	Entry Element	0	0	2				0	0	0		
	230	b	General Material Designation	General Material Designation	1	0	2				0	0	0		
	230	h	Number of Section or Part	Number of Section or Part	1	0	2				0	0	0		
	230	i	Name of Section or Part	Name of Section or Part	1	0	2				0	0	0		
	230	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	230	k	Date of Publication	Date of Publication	0	0	2				0	0	0		
	230	l	Form Subheading	Form Subheading	0	0	2				0	0	0		
	230	m	Language (when Part of Heading)	Language (when Part of Heading)	0	0	2				0	0	0		
	230	n	Miscellaneous Information	Miscellaneous Information	0	0	2		NULL		0	0	0		
	230	q	Version (or Date of Version)	Version (or Date of Version)	0	0	2				0	0	0		
	230	r	Medium of Performance (for Music)	Medium of Performance (for Music)	1	0	2				0	0	0		
	230	s	Numeric Designation (for Music)	Numeric Designation (for Music)	1	0	2				0	0	0		
	230	u	Key (for Music)	Key (for Music)	0	0	2				0	0	0		
	230	w	Arranged Statement (for Music)	Arranged Statement (for Music)	0	0	2				0	0	0		
	230	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	230	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	230	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	235	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	2				0	0	0		
	235	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	235	a	Collective Uniform Title	Collective Uniform Title	0	0	2				0	0	0		
	235	b	General Material Designation	General Material Designation	1	0	2				0	0	0		
	235	e	Collective Uniform Subtitle	Collective Uniform Subtitle	0	0	2				0	0	0		
	235	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	235	k	Date of Publication	Date of Publication	0	0	2				0	0	0		
	235	m	Language (when Part of Heading)	Language (when Part of Heading)	0	0	2				0	0	0		
	235	r	Medium of Performance (for Music)	Medium of Performance (for Music)	1	0	2				0	0	0		
	235	s	Numeric Designation (for Music)	Numeric Designation (for Music)	1	0	2				0	0	0		
	235	u	Key (for Music)	Key (for Music)	0	0	2				0	0	0		
	235	w	Arranged Statement (for Music)	Arranged Statement (for Music)	0	0	2				0	0	0		
	235	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	235	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	235	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	240	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	2				0	0	0		
	240	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	240	a	Entry Element	Entry Element	0	0	2				0	0	0		
	240	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	240	t	Title	Title	0	0	2				0	0	0		
	240	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	240	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	240	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	245	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	2				0	0	0		
	245	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	245	a	Entry Element	Entry Element	0	0	2				0	0	0		
	245	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	245	t	Title	Title	0	0	2				0	0	0		
	245	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	245	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	245	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	250	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	2				0	0	0		
	250	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	250	a	Topical Subject	Topical Subject	0	0	2				0	0	0		
	250	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	250	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	250	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	250	z	Chronological Subdivision	Chronological Subdivision	0	0	2				0	0	0		
	260	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	2				0	0	0		
	260	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	260	a	Country	Country	0	0	2				0	0	0		
	260	b	State or Province, etc.	State or Province, etc.	0	0	2				0	0	0		
	260	c	County	County	0	0	2				0	0	0		
	260	d	City	City	0	0	2				0	0	0		
	280	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	2				0	0	0		
	280	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	280	a	Entry Element	Entry Element	0	0	2				0	0	0		
	280	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	280	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	280	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	280	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	300	6	Interfield Linking Data	Interfield Linking Data	0	0	3				0	-5	0		
	300	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	3				0	-5	0		
	300	a	Information Note	Information Note	0	0	3				0	-5	0		
	305	6	Interfield Linking Data	Interfield Linking Data	0	0	3				0	-5	0		
	305	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	3				0	-5	0		
	305	a	Instruction Phrase	Instruction Phrase	1	0	3				0	-5	0		
	305	b	Heading Referred	Heading Referred	1	0	3				0	-5	0		
	310	6	Interfield Linking Data	Interfield Linking Data	0	0	3				0	-5	0		
	310	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	3				0	-5	0		
	310	a	Instruction Phrase	Instruction Phrase	0	0	3				0	-5	0		
	310	b	Heading Referred	Heading Referred	1	0	3				0	-5	0		
	320	6	Interfield Linking Data	Interfield Linking Data	0	0	3				0	-5	0		
	320	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	3		NULL		0	0	0		
	320	a	General Explanatory Reference Note	General Explanatory Reference Note	1	0	3				0	-5	0		
	330	6	Interfield Linking Data	Interfield Linking Data	0	0	3				0	-5	0		
	330	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	3				0	-5	0		
	330	a	General Scope Note	General Scope Note	0	0	3				0	-5	0		
	340	6	Interfield Linking Data	Interfield Linking Data	0	0	3				0	-5	0		
	340	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	3				0	-5	0		
	340	a	Biographical or Activity Note	Biographical or Activity Note	0	0	3				0	-5	0		
	356	6	Interfield Linking Data	Interfield Linking Data	0	0	3				0	-5	0		
	356	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	3				0	-5	0		
	356	a	Geographical Note	Geographical Note	0	0	3				0	-5	0		
	400	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	400	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	400	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	400	4	Relator Code	Relator Code	1	0	4				0	0	0		
	400	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	400	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	400	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	400	a	Entry Element	Entry Element	0	0	4				0	0	0		
	400	b	Part of Name Other than Entry Element	Part of Name Other than Entry Element	0	0	4				0	0	0		
	400	c	Additions to Name Other than Dates	Additions to Name Other than Dates	0	0	4				0	0	0		
	400	d	Roman Numerals	Roman Numerals	0	0	4				0	0	0		
	400	f	Dates	Dates	0	0	4				0	0	0		
	400	g	Expansion of Initials of Forename	Expansion of Initials of Forename	0	0	4				0	0	0		
	400	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	400	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	400	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	400	z	Chronological Subdivision	Chronological Subdivision	0	0	4				0	0	0		
	410	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	410	2	sub	sub	0	0	4				0	0	0		
	410	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	410	4	Relator Code	Relator Code	1	0	4				0	0	0		
	410	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	410	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	410	7	scr	scr	0	0	4				0	0	0		
	410	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	410	a	Entry Element	Entry Element	0	0	4				0	0	0		
	410	b	Subdivision	Subdivision	1	0	4				0	0	0		
	410	c	Additions to Name or Qualifier	Additions to Name or Qualifier	1	0	4				0	0	0		
	410	d	Number of Meeting and/or Part of Meeting	Number of Meeting and/or Part of Meeting	0	0	4				0	0	0		
	410	e	Location of Meeting	Location of Meeting	0	0	4				0	0	0		
	410	f	Date of Meeting	Date of Meeting	0	0	4				0	0	0		
	410	g	Inverted Element	Inverted Element	0	0	4				0	0	0		
	410	h	Part of Name Other than Entry Element and Inverted Element	Part of Name Other than Entry Element and Inverted Element	0	0	4				0	0	0		
	410	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	410	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	410	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	410	z	Chronological Subdivision	Chronological Subdivision	0	0	4				0	0	0		
	415	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	415	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	415	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	415	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	415	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	415	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	4				0	0	0		
	415	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	415	a	Entry Element	Entry Element	0	0	4				0	0	0		
	415	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	415	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	415	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	415	z	Chronological Subdivision	Chronological Subdivision	1	0	4				0	0	0		
	416	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	416	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	416	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	416	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	416	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	416	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	4				0	0	0		
	416	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	416	a	Entry Element	Entry Element	0	0	4				0	0	0		
	416	c	Qualification	Qualification	1	0	4				0	0	0		
	416	f	Dates	Dates	0	0	4				0	0	0		
	416	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	416	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	416	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	416	z	Chronological Subdivision	Chronological Subdivision	1	0	4				0	0	0		
	420	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	420	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	420	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	420	4	Relator Code	Relator Code	1	0	4				0	0	0		
	420	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	420	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	420	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	4				0	0	0		
	420	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4		NULL		0	0	0		
	420	a	Entry Element	Entry Element	0	0	4				0	0	0		
	420	f	Dates	Dates	0	0	4				0	0	0		
	420	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	420	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	420	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	420	z	Chronological Subdivision	Chronological Subdivision	1	0	4				0	0	0		
	430	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	430	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	430	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	430	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	430	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	430	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	4				0	0	0		
	430	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	430	a	Entry Element	Entry Element	0	0	4				0	0	0		
	430	b	General Material Designation	General Material Designation	1	0	4				0	0	0		
	430	h	Number of Section or Part	Number of Section or Part	1	0	4				0	0	0		
	430	i	Name of Section or Part	Name of Section or Part	1	0	4				0	0	0		
	430	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	430	k	Date of Publication	Date of Publication	0	0	4				0	0	0		
	430	l	Form Subheading	Form Subheading	0	0	4				0	0	0		
	430	m	Language (when Part of Heading)	Language (when Part of Heading)	0	0	4				0	0	0		
	430	n	Miscellaneous Information	Miscellaneous Information	0	0	4				0	0	0		
	430	q	Version (or Date of Version)	Version (or Date of Version)	0	0	4				0	0	0		
	430	r	Medium of Performance (for Music)	Medium of Performance (for Music)	1	0	4				0	0	0		
	430	s	Numeric Designation (for Music)	Numeric Designation (for Music)	1	0	4				0	0	0		
	430	u	Key (for Music)	Key (for Music)	0	0	4				0	0	0		
	430	w	Arranged Statement (for Music)	Arranged Statement (for Music)	0	0	4				0	0	0		
	430	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	430	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	430	z	Chronological Subdivision	Chronological Subdivision	1	0	4				0	0	0		
	440	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	440	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	440	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	440	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	440	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	440	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	4				0	0	0		
	440	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	440	a	Entry Element	Entry Element	0	0	4				0	0	0		
	440	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	440	t	Title	Title	0	0	4				0	0	0		
	440	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	440	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	440	z	Chronological Subdivision	Chronological Subdivision	1	0	4				0	0	0		
	445	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	445	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	445	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	445	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	445	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	445	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	4				0	0	0		
	445	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	445	a	Entry Element	Entry Element	0	0	4				0	0	0		
	445	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	445	t	Title	Title	0	0	4				0	0	0		
	445	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	445	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	445	z	Chronological Subdivision	Chronological Subdivision	1	0	4				0	0	0		
	450	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	450	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	450	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	450	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	450	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	450	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	4				0	0	0		
	450	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	450	a	Entry Element	Entry Element	0	0	4				0	0	0		
	450	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	450	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	450	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	450	z	Chronological Subdivision	Chronological Subdivision	1	0	4				0	0	0		
	460	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	460	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	460	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	460	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	460	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	460	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	4				0	0	0		
	460	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	460	a	Country	Country	0	0	4				0	0	0		
	460	b	State or Province, etc.	State or Province, etc.	0	0	4				0	0	0		
	460	c	Country	Country	0	0	4				0	0	0		
	460	d	City	City	0	0	4				0	0	0		
	480	0	Instruction Phrase	Instruction Phrase	0	0	4				0	0	0		
	480	2	Subject System Code	Subject System Code	0	0	4				0	0	0		
	480	3	Authority Record Number	Authority Record Number	0	0	4				0	0	0		
	480	5	Tracing Control	Tracing Control	0	0	4				0	0	0		
	480	6	Interfield Linking Data	Interfield Linking Data	0	0	4				0	0	0		
	480	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	4				0	0	0		
	480	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	4				0	0	0		
	480	a	Entry Element	Entry Element	0	0	4				0	0	0		
	480	j	Form Subdivision	Form Subdivision	1	0	4				0	0	0		
	480	x	Topical Subdivision	Topical Subdivision	1	0	4				0	0	0		
	480	y	Geographical Subdivision	Geographical Subdivision	1	0	4				0	0	0		
	480	z	Chronological Subdivision	Chronological Subdivision	1	0	4				0	0	0		
	500	0	Instruction Phrase	Instruction Phrase	0	0	5				0	0	0		
	500	2	Subject System Code	Subject System Code	0	0	5				0	0	0		
	500	3	Authority Record Number	Authority Record Number	0	0	5				0	0	0		
	500	4	Relator Code	Relator Code	1	0	5				0	0	0		
	500	5	Tracing Control	Tracing Control	0	0	5				0	0	0		
	500	6	Interfield Linking Data	Interfield Linking Data	0	0	5				0	0	0		
	500	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	5				0	0	0		
	500	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	5				0	0	0		
	500	a	Entry Element	Entry Element	0	0	5				0	0	0		
	500	b	Part of Name Other than Entry Element	Part of Name Other than Entry Element	0	0	5				0	0	0		
	500	c	Additions to Name Other than Dates	Additions to Name Other than Dates	1	0	5				0	0	0		
	500	d	Roman Numerals	Roman Numerals	0	0	5				0	0	0		
	500	f	Dates	Dates	0	0	5				0	0	0		
